"SEQ";"SIGLA";"NOME CURTO";"NOME LONGO";"DEFINIÇÃO";"CATEGORIA";"SUBCATEGORIA"
27;"T_ATRASO_1_MED";"% de 15 a 17 no médio com 1 ano de atraso";"Percentual da população de 15 a 17 anos de idade frequentando o ensino médio que tem 1 ano de atraso idade-série.";"Razão entre o número de pessoas de 15 a 17 anos frequentando o ensino médio regular seriado com atraso idade-série de 1 ano e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 14) - número da série frequentada]. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"atraso idade-série"
28;"T_ATRASO_2_BASICO";"% de 6 a 17 anos no básico com 2 anos ou mais de atraso";"Percentual da população de 6 a 17 anos de idade frequentando o ensino básico que tem 2 anos ou mais de atraso idade-série.";"Razão entre o número de pessoas de 6 a 17 anos frequentando o ensino básico regular seriado (fundamental + médio) com atraso idade-série de 2 anos ou mais e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada], na qual o número da série frequentada é 10, 11 e 12 para as pessoas que frequentam a 1ª, a 2ª e a 3ª séries do ensino médio, respectivamente. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"atraso idade-série"
29;"T_ATRASO_2_FUND";"% de 6 a 14 anos no fundamental com 2 anos ou mais de atraso";"Percentual da população de 6 a 14 anos de idade frequentando o ensino fundamental que tem 2 anos ou mais de atraso idade-série.";"Razão entre o número de pessoas de 6 a 14 anos frequentando o ensino fundamental regular seriado com atraso idade-série de 2 anos ou mais e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 5) - número da série frequentada]. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.";"educação";"atraso idade-série"
30;"T_ATRASO_2_MED";"% de 15 a 17 anos no médio com 2 anos de atraso";"Percentual da população de 15 a 17 anos de idade frequentando o ensino médio que tem  2 anos de atraso idade-série.";"Razão entre o número de pessoas de 15 a 17 anos frequentando o ensino médio regular seriado com atraso idade-série de 2 anos e o número total de pessoas nessa faixa etária frequentando esse nível de ensino multiplicado por 100. O atraso idade-série é calculado pela fórmula: [(idade - 14) - número da série frequentada]. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"atraso idade-série"
31;"T_FBBAS";"Taxa de frequência bruta ao básico";"Taxa de frequência bruta ao ensino   básico";"Razão entre o número total de pessoas de qualquer idade frequentando o ensino básico (fundamental ou médio - regular ou seriado) e a população na faixa etária de 6 a 17 anos multiplicado por 100. As pessoas frequentando a 4ª série do ensino médio foram consideradas como tendo concluído esse nível de ensino. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.";"educação";"frequência qualificada"
32;"T_FBFUND";"Taxa de frequência bruta ao fundamental";"Taxa de frequência bruta ao ensino   fundamental";"Razão entre o número total de pessoas de qualquer idade frequentando o ensino fundamental regular seriado e a população na faixa etária de 6 a 14 anos multiplicado por 100. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.";"educação";"frequência qualificada"
33;"T_FBMED";"Taxa de frequência bruta ao médio";"Taxa de frequência bruta ao ensino   médio";"Razão entre o número total de pessoas de qualquer idade frequentando o ensino médio regular seriado e a população na faixa etária de 15 a 17 anos multiplicado por 100. As pessoas frequentando a 4ª série do ensino médio foram consideradas como tendo concluído esse nível de ensino.";"educação";"frequência qualificada"
34;"T_FBPRE";"Taxa de frequência bruta à pré-escola";"Taxa de frequência bruta à pré-escola";"Razão entre o número total de crianças de até 5 anos de idade (somente 5 anos em 1991) frequentando a pré-escola e a população nessa mesma faixa etária multiplicado por 100. As pessoas de 6 anos ou mais frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.";"educação";"frequência qualificada"
35;"T_FBSUPER";"Taxa de frequência bruta ao superior";"Taxa de frequência bruta ao ensino   superior";"Razão entre o número total de pessoas de qualquer idade frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e a população na faixa etária de 18 a 24 anos multiplicado por 100.";"educação";"frequência qualificada"
36;"T_FLBAS";"Taxa de frequência líquida ao básico";"Taxa de frequência líquida ao ensino   básico";"Razão entre o número de pessoas na faixa etária de 6 a 17 anos frequentando o ensino básico (fundamental ou médio - regular ou seriado) e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 6 a 17 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental. As pessoas de 6 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"frequência qualificada"
37;"T_FLFUND";"Taxa de frequência líquida ao fundamental";"Taxa de frequência líquida ao ensino   fundamental";"Razão entre o número de pessoas na faixa etária de 6 a 14 anos frequentando o ensino fundamental regular seriado e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 6 a 14 anos frequentando a pré-escola foram consideradas como se estivessem no 1º ano do ensino fundamental.";"educação";"frequência qualificada"
38;"T_FLMED";"Taxa de frequência líquida ao médio";"Taxa de frequência líquida ao ensino   médio";"Razão entre o número de pessoas na faixa etária de 15 a 17 anos frequentando o ensino médio regular seriado e a população total dessa mesma faixa etária multiplicado por 100. As pessoas de 15 a 17 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"frequência qualificada"
39;"T_FLPRE";"Taxa de frequência líquida à pré-escola";"Taxa de frequência líquida à pré-escola";"Razão entre o número de pessoas na faixa etária de 4 e 5 anos (somente 5 anos em 1991) frequentando a pré-escola e a população total dessa mesma faixa etária multiplicado por 100.";"educação";"frequência qualificada"
40;"T_FLSUPER";"Taxa de frequência líquida ao superior";"Taxa de frequência líquida ao ensino   superior";"Razão entre o número de pessoas na faixa etária de 18 a 24 anos frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e a população total dessa mesma faixa etária multiplicado por 100.";"educação";"frequência qualificada"
41;"T_FREQ0A3";"% de 0 a 3 anos na escola";"Taxa de atendimento escolar da população de 0 a 3 anos de idade ";"Razão entre a população de 0 a 3 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100. Dado não disponível para 1991.";"educação";"atendimento ou frequência simples"
42;"T_FREQ11A14";"% de 11 a 14 anos na escola";"Taxa de atendimento escolar da população de 11 a 14 anos de idade ";"Razão entre a população de 11 a 14 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
43;"T_FREQ15A17";"% de 15 a 17 anos na escola";"Taxa de atendimento escolar da população de 15 a 17 anos de idade ";"Razão entre a população de 15 a 17 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
44;"T_FREQ18A24";"% de 18 a 24 anos na escola";"Taxa de atendimento escolar da população de 18 a 24 anos de idade ";"Razão entre a população de 18 a 24 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
45;"T_FREQ25A29";"% de 25 a 29 anos na escola";"Taxa de atendimento escolar da população de 25 a 29 anos de idade ";"Razão entre a população de 25 a 29 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
46;"T_FREQ4A5";"% de 4 a 5 anos na escola";"Taxa de atendimento escolar da população de 4 a 5 anos de idade ";"Razão entre a população de 4 a 5 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
47;"T_FREQ4A6 ";"% de 4 a 6 anos na escola";"Percentual da população de 4 a 6 anos de idade frequentando a escola";"Razão entre a população de 4 a 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
48;"T_FREQ5a6 ";"% de 5 a 6 anos na escola";"Percentual da população de 5 a 6 anos de idade frequentando a escola";"Razão entre a população de 5 a 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
49;"T_FREQ6";"% de 6 anos na escola";"Taxa de atendimento escolar da população de 6 anos de idade ";"Razão entre a população de 6 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
50;"T_FREQ6A14";"% de 6 a 14 anos na escola";"Taxa de atendimento escolar da população de 6 a 14 anos de idade ";"Razão entre a população de 6 a 14 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
51;"T_FREQ6A17";"% de 6 a 17 anos na escola";"Taxa de atendimento escolar da população de 6 a 17 anos de idade ";"Razão entre população de 6 a 17 anos de idade que estava frequentando a escola, em qualquer nível ou série e a população total nesta faixa etária multiplicado por 100.";"educação";"atendimento ou frequência simples"
52;"T_FREQFUND1517";"% de 15 a 17 anos no fundamental";"Percentual da população de 15 a 17 anos de idade frequentando o ensino fundamental";"Razão entre a população de 15 a 17 anos de idade frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"frequência qualificada"
53;"T_FREQFUND1824";"% de 18 a 24 anos no fundamental";"Percentual da população de 18 a 24 anos de idade frequentando o ensino fundamental";"Razão entre a população de 18 a 24 anos frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"frequência qualificada"
54;"T_FREQFUND45";"% de 4 a 5 anos no fundamental";"Percentual da população de 4 a 5 anos de idade frequentando o ensino fundamental";"Razão entre a população de 4 a 5 anos de idade frequentando o ensino fundamental regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"frequência qualificada"
55;"T_FREQMED1824";"% de 18 a 24 anos no médio";"Percentual da população de 18 a 24 anos de idade frequentando o ensino médio";"Razão entre a população de 18 a 24 anos frequentando o ensino médio regular seriado e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 18 a 24 anos frequentando a 4a. série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"frequência qualificada"
56;"T_FREQMED614";"% de 6 a 14 anos no médio";"Percentual da população de 6 a 14 anos de idade frequentando o ensino médio";"Razão entre a população de 6 a 14 anos de idade frequentando o ensino médio regular seriado e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"frequência qualificada"
57;"T_FREQSUPER1517";"% de 15 a 17 anos no superior";"Percentual da população de 15 a 17 anos de idade frequentando o ensino superior";"Razão entre a população de 15 a 17 anos de idade frequentando o ensino superior (graduação, especialização, mestrado ou doutorado) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"frequência qualificada"
58;"T_FUND11a13";"% de 11 a 13 anos nos anos finais do fundamental ou com fundamental completo";"Percentual da população de 11 a 13 anos de idade frequentando os anos  finais do fundamental ou que já concluiu o fundamental";"Razão entre a população de 11 a 13 anos de idade que frequenta os quatro anos finais do fundamental (do 6º ao 9º ano desse nível de ensino) ou que já concluiu o fundamental e a população total nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
59;"T_FUND12A14";"% de 12 a 14 anos nos anos finais do fundamental ou com fundamental completo";"Percentual da população de 12 a 14 anos de idade frequentando os anos  finais do fundamental ou que já concluiu o fundamental";"Razão entre a população de 12 a 14 anos de idade que frequenta os quatro anos finais do fundamental (do 6º ao 9º ano desse nível de ensino) ou que já concluiu o fundamental e a população total nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
60;"T_FUND15A17";"% de 15 a 17 anos com fundamental completo";"Percentual da população de 15 a 17 anos com fundamental completo";"Razão entre a população de 15 a 17 anos de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
61;"T_FUND16A18";"% de 16 a 18 anos com fundamental completo";"Percentual da população de 16 a 18 anos de idade com o ensino fundamental completo";"Razão entre a população de 16 a 18 anos de idade que já concluiu o ensino fundamental em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
62;"T_FUND18A24";"% de 18 a 24 anos com fundamental completo";"Percentual da população de 18 a 24 anos com fundamental completo";"Razão entre a população de 18 a 24 anos de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
63;"T_FUND18M";"% de 18 anos ou mais com fundamental completo";"Percentual da população de 18 anos ou mais com fundamental completo";"Razão entre a população de 18 anos ou mais de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
64;"T_FUND25M";"% de 25 anos ou mais com fundamental completo";"Percentual da população de 25 anos ou mais com fundamental completo";"Razão entre a população de 25 anos ou mais de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
65;"T_MED18a20";"% de 18 a 20 anos com médio completo";"Percentual da população de 18 a 20 anos de idade com o ensino médio completo";"Razão entre a população de 18 a 20 anos de idade que já concluiu o ensino médio em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 18 a 20 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"grau de escolaridade"
66;"T_MED18A24";"% de 18 a 24 anos com médio completo";"Percentual da população de 18 a 24 anos com ensino médio completo";"Razão entre a população de 18 a 24 anos de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.";"educação";"grau de escolaridade"
67;"T_MED18M";"% de 18 anos ou mais com médio completo";"Percentual da população de 18 anos ou mais com ensino médio completo";"Razão entre a população de 18 anos ou mais de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.";"educação";"grau de escolaridade"
68;"T_MED19A21";"% de 19 a 21 anos com médio completo";"Percentual da população de 19 a 21 anos de idade com o ensino médio completo";"Razão entre a população de 19 a 21 anos de idade que já concluiu o ensino médio em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 19 a 21 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.";"educação";"grau de escolaridade"
69;"T_MED25M";"% de 25 anos ou mais com médio completo";"Percentual da população de 25 anos ou mais com ensino médio incompleto";"Razão entre a população de 25 anos ou mais de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.";"educação";"grau de escolaridade"
70;"T_SUPER25M";"% de 25 anos ou mais com superior completo";"Percentual da população de 25 anos ou mais com superior completo";"Razão entre a população de 25 anos ou mais de idade que concluiu pelo menos a graduação do ensino superior e o total de pessoas nesta faixa etária multiplicado por 100.";"educação";"grau de escolaridade"
71;"CORTE1";"Renda per capita máxima do 1º quinto mais pobre";"Renda domiciliar per capita máxima do quinto mais pobre";"Valor do 1º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.";"renda";"nível de renda"
72;"CORTE2";"Renda per capita máxima do 2° quinto mais pobre";"Renda domiciliar per capita máxima do 2º quinto mais pobre";"Valor do 2º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 2º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.";"renda";"nível de renda"
73;"CORTE3";"Renda per capita máxima do 3° quinto mais pobre";"Renda domiciliar per capita máxima do 3º quinto mais pobre";"Valor do 3º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 3º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.";"renda";"nível de renda"
74;"CORTE4";"Renda per capita máxima do 4°quinto mais pobre";"Renda domiciliar per capita máxima do 3º quinto mais pobre";"Valor do 4º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 4º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.";"renda";"nível de renda"
75;"CORTE9";"Renda per capita mínima do décimo mais rico";"Renda domiciliar per capita mínima do décimo mais rico";"Valor do 9º decil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor mínimo da renda domiciliar per capita dos indivíduos pertencentes ao décimo mais rico dessa distribuição. Valores em reais de 01/agosto/2010.";"renda";"nível de renda"
76;"GINI";"Índice de Gini";"Índice de Gini";"Mede o grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Seu valor varia de 0, quando não há desigualdade (a renda domiciliar per capita de todos os indivíduos tem o mesmo valor), a 1, quando a desigualdade é máxima (apenas um indivíduo detém toda a renda).O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"desigualdade de renda"
77;"PIND";"% de extremamente pobres";"Proporção de extremamente pobres";"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"pobreza"
78;"PINDCRI";"% de crianças extremamente pobres";"Proporção de crianças extremamente pobres";"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.";"renda";"pobreza"
